Time stamp,System power generated | (kW)
"Jan 6, 06:00 am",0.0
"Jan 6, 07:00 am",0.0
"Jan 6, 08:00 am",0.0357108
"Jan 6, 09:00 am",0.154727
"Jan 6, 10:00 am",0.301864
"Jan 6, 11:00 am",0.388192
"Jan 6, 12:00 pm",0.4219
"Jan 6, 01:00 pm",0.40572
"Jan 6, 02:00 pm",0.325534
"Jan 6, 03:00 pm",0.20745
"Jan 6, 04:00 pm",0.0734325
"Jan 6, 05:00 pm",-0.0
"Jan 6, 06:00 pm",0.0
"Jan 6, 07:00 pm",0.0
"Jan 6, 08:00 pm",0.0
"Jan 6, 09:00 pm",0.0
"Jan 6, 10:00 pm",0.0
"Jan 6, 11:00 pm",0.0
"Jan 7, 12:00 am",0.0
"Jan 7, 01:00 am",0.0
"Jan 7, 02:00 am",0.0
"Jan 7, 03:00 am",0.0
"Jan 7, 04:00 am",0.0
"Jan 7, 05:00 am",0.0
"Jan 7, 06:00 am",0.0
"Jan 7, 07:00 am",0.0
"Jan 7, 08:00 am",0.021895
"Jan 7, 09:00 am",0.0563439
"Jan 7, 10:00 am",0.0716957
"Jan 7, 11:00 am",0.0655684
"Jan 7, 12:00 pm",0.061761
"Jan 7, 01:00 pm",0.0890822
"Jan 7, 02:00 pm",0.0874325
"Jan 7, 03:00 pm",0.054239
"Jan 7, 04:00 pm",0.0145685
"Jan 7, 05:00 pm",-0.0
"Jan 7, 06:00 pm",0.0
"Jan 7, 07:00 pm",0.0
"Jan 7, 08:00 pm",0.0
"Jan 7, 09:00 pm",0.0
"Jan 7, 10:00 pm",0.0
"Jan 7, 11:00 pm",0.0
"Jan 8, 12:00 am",0.0
"Jan 8, 01:00 am",0.0
"Jan 8, 02:00 am",0.0
"Jan 8, 03:00 am",0.0
"Jan 8, 04:00 am",0.0
"Jan 8, 05:00 am",0.0
"Jan 8, 06:00 am",0.0
"Jan 8, 07:00 am",0.0
"Jan 8, 08:00 am",-0.0
"Jan 8, 09:00 am",0.00445351
"Jan 8, 10:00 am",0.0131809
"Jan 8, 11:00 am",0.0183183
"Jan 8, 12:00 pm",0.0210643
"Jan 8, 01:00 pm",0.0230149
"Jan 8, 02:00 pm",0.0321015
"Jan 8, 03:00 pm",0.0423254
"Jan 8, 04:00 pm",0.0221272
"Jan 8, 05:00 pm",-0.0
"Jan 8, 06:00 pm",0.0
"Jan 8, 07:00 pm",0.0
"Jan 8, 08:00 pm",0.0
"Jan 8, 09:00 pm",0.0
"Jan 8, 10:00 pm",0.0
"Jan 8, 11:00 pm",0.0
"Jan 9, 12:00 am",0.0
"Jan 9, 01:00 am",0.0
"Jan 9, 02:00 am",0.0
"Jan 9, 03:00 am",0.0
"Jan 9, 04:00 am",0.0
"Jan 9, 05:00 am",0.0
"Jan 9, 06:00 am",0.0
"Jan 9, 07:00 am",0.0
"Jan 9, 08:00 am",0.0315609
"Jan 9, 09:00 am",0.0987115
"Jan 9, 10:00 am",0.134423
"Jan 9, 11:00 am",0.125714
"Jan 9, 12:00 pm",0.0608113
"Jan 9, 01:00 pm",0.15059
"Jan 9, 02:00 pm",0.135494
"Jan 9, 03:00 pm",0.0415445
"Jan 9, 04:00 pm",0.0259345
"Jan 9, 05:00 pm",-0.0
"Jan 9, 06:00 pm",0.0
"Jan 9, 07:00 pm",0.0
"Jan 9, 08:00 pm",0.0
"Jan 9, 09:00 pm",0.0
"Jan 9, 10:00 pm",0.0
"Jan 9, 11:00 pm",0.0
"Jan 10, 12:00 am",0.0
"Jan 10, 01:00 am",0.0
"Jan 10, 02:00 am",0.0
"Jan 10, 03:00 am",0.0
"Jan 10, 04:00 am",0.0
"Jan 10, 05:00 am",0.0
"Jan 10, 06:00 am",0.0
"Jan 10, 07:00 am",0.0
"Jan 10, 08:00 am",0.0264937
"Jan 10, 09:00 am",0.101767
"Jan 10, 10:00 am",0.125415
"Jan 10, 11:00 am",0.0971185
"Jan 10, 12:00 pm",0.11265
"Jan 10, 01:00 pm",0.140907
"Jan 10, 02:00 pm",0.115147
"Jan 10, 03:00 pm",0.129011
"Jan 10, 04:00 pm",0.0359409
"Jan 10, 05:00 pm",-0.0
"Jan 10, 06:00 pm",0.0
"Jan 10, 07:00 pm",0.0
"Jan 10, 08:00 pm",0.0
"Jan 10, 09:00 pm",0.0
"Jan 10, 10:00 pm",0.0
"Jan 10, 11:00 pm",0.0
"Jan 11, 12:00 am",0.0
"Jan 11, 01:00 am",0.0
"Jan 11, 02:00 am",0.0
"Jan 11, 03:00 am",0.0
"Jan 11, 04:00 am",0.0
"Jan 11, 05:00 am",0.0
"Jan 11, 06:00 am",0.0
"Jan 11, 07:00 am",0.0
"Jan 11, 08:00 am",0.0271296
"Jan 11, 09:00 am",0.0937037
"Jan 11, 10:00 am",0.123172
"Jan 11, 11:00 am",0.196123
"Jan 11, 12:00 pm",0.272679
"Jan 11, 01:00 pm",0.265675
"Jan 11, 02:00 pm",0.272734
"Jan 11, 03:00 pm",0.173546
"Jan 11, 04:00 pm",0.0615044
"Jan 11, 05:00 pm",-0.0
"Jan 11, 06:00 pm",0.0
"Jan 11, 07:00 pm",0.0
"Jan 11, 08:00 pm",0.0
"Jan 11, 09:00 pm",0.0
"Jan 11, 10:00 pm",0.0
"Jan 11, 11:00 pm",0.0
"Jan 12, 12:00 am",0.0
"Jan 12, 01:00 am",0.0
"Jan 12, 02:00 am",0.0
"Jan 12, 03:00 am",0.0
"Jan 12, 04:00 am",0.0
"Jan 12, 05:00 am",0.0
"Jan 12, 06:00 am",0.0
"Jan 12, 07:00 am",0.0
"Jan 12, 08:00 am",0.0230088
"Jan 12, 09:00 am",0.0711582
"Jan 12, 10:00 am",0.182658
"Jan 12, 11:00 am",0.195412
"Jan 12, 12:00 pm",0.265656
"Jan 12, 01:00 pm",0.302422
"Jan 12, 02:00 pm",0.283458
"Jan 12, 03:00 pm",0.217385
"Jan 12, 04:00 pm",0.072286
"Jan 12, 05:00 pm",-0.0
"Jan 12, 06:00 pm",0.0
"Jan 12, 07:00 pm",0.0
"Jan 12, 08:00 pm",0.0
"Jan 12, 09:00 pm",0.0
"Jan 12, 10:00 pm",0.0
"Jan 12, 11:00 pm",0.0
"Jan 13, 12:00 am",0.0
"Jan 13, 01:00 am",0.0
"Jan 13, 02:00 am",0.0
"Jan 13, 03:00 am",0.0
"Jan 13, 04:00 am",0.0
"Jan 13, 05:00 am",0.0
"Jan 13, 06:00 am",0.0
"Jan 13, 07:00 am",0.0
"Jan 13, 08:00 am",0.039124
"Jan 13, 09:00 am",0.141919
"Jan 13, 10:00 am",0.247815
"Jan 13, 11:00 am",0.350601
"Jan 13, 12:00 pm",0.398627
"Jan 13, 01:00 pm",0.379305
"Jan 13, 02:00 pm",0.3251
"Jan 13, 03:00 pm",0.228064
"Jan 13, 04:00 pm",0.0847768
"Jan 13, 05:00 pm",-0.0
"Jan 13, 06:00 pm",0.0
"Jan 13, 07:00 pm",0.0
"Jan 13, 08:00 pm",0.0
"Jan 13, 09:00 pm",0.0
"Jan 13, 10:00 pm",0.0
"Jan 13, 11:00 pm",0.0
"Jan 14, 12:00 am",0.0
"Jan 14, 01:00 am",0.0
"Jan 14, 02:00 am",0.0
"Jan 14, 03:00 am",0.0
"Jan 14, 04:00 am",0.0
"Jan 14, 05:00 am",0.0
"Jan 14, 06:00 am",0.0
"Jan 14, 07:00 am",0.0
"Jan 14, 08:00 am",0.00119539
"Jan 14, 09:00 am",0.049533
"Jan 14, 10:00 am",0.250294
"Jan 14, 11:00 am",0.226821
"Jan 14, 12:00 pm",0.20817
"Jan 14, 01:00 pm",0.266385
"Jan 14, 02:00 pm",0.171209
"Jan 14, 03:00 pm",0.121989
"Jan 14, 04:00 pm",0.0464162
"Jan 14, 05:00 pm",-0.0
"Jan 14, 06:00 pm",0.0
"Jan 14, 07:00 pm",0.0
"Jan 14, 08:00 pm",0.0
"Jan 14, 09:00 pm",0.0
"Jan 14, 10:00 pm",0.0
"Jan 14, 11:00 pm",0.0
"Jan 15, 12:00 am",0.0
"Jan 15, 01:00 am",0.0
"Jan 15, 02:00 am",0.0
"Jan 15, 03:00 am",0.0
"Jan 15, 04:00 am",0.0
"Jan 15, 05:00 am",0.0
"Jan 15, 06:00 am",0.0
"Jan 15, 07:00 am",0.0
"Jan 15, 08:00 am",0.0198816
"Jan 15, 09:00 am",0.112383
"Jan 15, 10:00 am",0.194862
"Jan 15, 11:00 am",0.326694
"Jan 15, 12:00 pm",0.279676
"Jan 15, 01:00 pm",0.249636
"Jan 15, 02:00 pm",0.149081
"Jan 15, 03:00 pm",0.184229
"Jan 15, 04:00 pm",0.0694551
"Jan 15, 05:00 pm",-0.0
"Jan 15, 06:00 pm",0.0
"Jan 15, 07:00 pm",0.0
"Jan 15, 08:00 pm",0.0
"Jan 15, 09:00 pm",0.0
"Jan 15, 10:00 pm",0.0
"Jan 15, 11:00 pm",0.0
"Jan 16, 12:00 am",0.0
"Jan 16, 01:00 am",0.0
"Jan 16, 02:00 am",0.0
"Jan 16, 03:00 am",0.0
"Jan 16, 04:00 am",0.0
"Jan 16, 05:00 am",0.0
"Jan 16, 06:00 am",0.0
"Jan 16, 07:00 am",0.0
"Jan 16, 08:00 am",0.0131939
"Jan 16, 09:00 am",0.0407325
"Jan 16, 10:00 am",0.114334
"Jan 16, 11:00 am",0.155873
"Jan 16, 12:00 pm",0.125182
"Jan 16, 01:00 pm",0.0958762
"Jan 16, 02:00 pm",0.114527
"Jan 16, 03:00 pm",0.0795671
"Jan 16, 04:00 pm",0.0173208
"Jan 16, 05:00 pm",-0.0
"Jan 16, 06:00 pm",0.0
"Jan 16, 07:00 pm",0.0
"Jan 16, 08:00 pm",0.0
"Jan 16, 09:00 pm",0.0
"Jan 16, 10:00 pm",0.0
"Jan 16, 11:00 pm",0.0
"Jan 17, 12:00 am",0.0
"Jan 17, 01:00 am",0.0
"Jan 17, 02:00 am",0.0
"Jan 17, 03:00 am",0.0
"Jan 17, 04:00 am",0.0
"Jan 17, 05:00 am",0.0
"Jan 17, 06:00 am",0.0
"Jan 17, 07:00 am",0.0
"Jan 17, 08:00 am",0.0386661
"Jan 17, 09:00 am",0.103797
"Jan 17, 10:00 am",0.158375
"Jan 17, 11:00 am",0.180608
"Jan 17, 12:00 pm",0.210959
"Jan 17, 01:00 pm",0.254645
"Jan 17, 02:00 pm",0.220625
"Jan 17, 03:00 pm",0.167334
"Jan 17, 04:00 pm",0.0680497
"Jan 17, 05:00 pm",-0.0
"Jan 17, 06:00 pm",0.0
"Jan 17, 07:00 pm",0.0
"Jan 17, 08:00 pm",0.0
"Jan 17, 09:00 pm",0.0
"Jan 17, 10:00 pm",0.0
"Jan 17, 11:00 pm",0.0
"Jan 18, 12:00 am",0.0
"Jan 18, 01:00 am",0.0
"Jan 18, 02:00 am",0.0
"Jan 18, 03:00 am",0.0
"Jan 18, 04:00 am",0.0
"Jan 18, 05:00 am",0.0
"Jan 18, 06:00 am",0.0
"Jan 18, 07:00 am",0.0
"Jan 18, 08:00 am",0.00281571
"Jan 18, 09:00 am",0.0136315
"Jan 18, 10:00 am",0.0913269
"Jan 18, 11:00 am",0.0671195
"Jan 18, 12:00 pm",0.1062
"Jan 18, 01:00 pm",0.122204
"Jan 18, 02:00 pm",0.0818684
"Jan 18, 03:00 pm",0.0798302
"Jan 18, 04:00 pm",0.0566078
"Jan 18, 05:00 pm",-0.0
"Jan 18, 06:00 pm",0.0
"Jan 18, 07:00 pm",0.0
"Jan 18, 08:00 pm",0.0
"Jan 18, 09:00 pm",0.0
"Jan 18, 10:00 pm",0.0
"Jan 18, 11:00 pm",0.0
"Jan 19, 12:00 am",0.0
"Jan 19, 01:00 am",0.0
"Jan 19, 02:00 am",0.0
"Jan 19, 03:00 am",0.0
"Jan 19, 04:00 am",0.0
"Jan 19, 05:00 am",0.0
"Jan 19, 06:00 am",0.0
"Jan 19, 07:00 am",0.0
"Jan 19, 08:00 am",0.0497994
"Jan 19, 09:00 am",0.186842
"Jan 19, 10:00 am",0.321681
"Jan 19, 11:00 am",0.379107
"Jan 19, 12:00 pm",0.153356
"Jan 19, 01:00 pm",0.0834827
"Jan 19, 02:00 pm",0.299614
"Jan 19, 03:00 pm",0.21714
"Jan 19, 04:00 pm",0.0912819
"Jan 19, 05:00 pm",0.00113073
"Jan 19, 06:00 pm",0.0
"Jan 19, 07:00 pm",0.0
"Jan 19, 08:00 pm",0.0
"Jan 19, 09:00 pm",0.0
"Jan 19, 10:00 pm",0.0
"Jan 19, 11:00 pm",0.0
"Jan 20, 12:00 am",0.0
"Jan 20, 01:00 am",0.0
"Jan 20, 02:00 am",0.0
"Jan 20, 03:00 am",0.0
"Jan 20, 04:00 am",0.0
"Jan 20, 05:00 am",0.0
"Jan 20, 06:00 am",0.0
"Jan 20, 07:00 am",0.0
"Jan 20, 08:00 am",0.0499801
"Jan 20, 09:00 am",0.195249
"Jan 20, 10:00 am",0.335497
"Jan 20, 11:00 am",0.428575
"Jan 20, 12:00 pm",0.466343
"Jan 20, 01:00 pm",0.44049
"Jan 20, 02:00 pm",0.381581
"Jan 20, 03:00 pm",0.263566
"Jan 20, 04:00 pm",0.0857223
"Jan 20, 05:00 pm",0.000319116
"Jan 20, 06:00 pm",0.0
"Jan 20, 07:00 pm",0.0
"Jan 20, 08:00 pm",0.0
"Jan 20, 09:00 pm",0.0
"Jan 20, 10:00 pm",0.0
"Jan 20, 11:00 pm",0.0
"Jan 21, 12:00 am",0.0
"Jan 21, 01:00 am",0.0
"Jan 21, 02:00 am",0.0
"Jan 21, 03:00 am",0.0
"Jan 21, 04:00 am",0.0
"Jan 21, 05:00 am",0.0
"Jan 21, 06:00 am",0.0
"Jan 21, 07:00 am",0.0
"Jan 21, 08:00 am",0.0505697
"Jan 21, 09:00 am",0.162244
"Jan 21, 10:00 am",0.243868
"Jan 21, 11:00 am",0.258384
"Jan 21, 12:00 pm",0.247733
"Jan 21, 01:00 pm",0.280185
"Jan 21, 02:00 pm",0.213537
"Jan 21, 03:00 pm",0.121723
"Jan 21, 04:00 pm",0.0508213
"Jan 21, 05:00 pm",-0.0
"Jan 21, 06:00 pm",0.0
"Jan 21, 07:00 pm",0.0
"Jan 21, 08:00 pm",0.0
"Jan 21, 09:00 pm",0.0
"Jan 21, 10:00 pm",0.0
"Jan 21, 11:00 pm",0.0
"Jan 22, 12:00 am",0.0
"Jan 22, 01:00 am",0.0
"Jan 22, 02:00 am",0.0
"Jan 22, 03:00 am",0.0
"Jan 22, 04:00 am",0.0
"Jan 22, 05:00 am",0.0
"Jan 22, 06:00 am",0.0
"Jan 22, 07:00 am",0.0
"Jan 22, 08:00 am",0.032099
"Jan 22, 09:00 am",0.0932207
"Jan 22, 10:00 am",0.256835
"Jan 22, 11:00 am",0.388896
"Jan 22, 12:00 pm",0.442608
"Jan 22, 01:00 pm",0.398003
"Jan 22, 02:00 pm",0.349353
"Jan 22, 03:00 pm",0.137802
"Jan 22, 04:00 pm",0.0376419
"Jan 22, 05:00 pm",-0.0
"Jan 22, 06:00 pm",0.0
"Jan 22, 07:00 pm",0.0
"Jan 22, 08:00 pm",0.0
"Jan 22, 09:00 pm",0.0
"Jan 22, 10:00 pm",0.0
"Jan 22, 11:00 pm",0.0
"Jan 23, 12:00 am",0.0
"Jan 23, 01:00 am",0.0
"Jan 23, 02:00 am",0.0
"Jan 23, 03:00 am",0.0
"Jan 23, 04:00 am",0.0
"Jan 23, 05:00 am",0.0
"Jan 23, 06:00 am",0.0
"Jan 23, 07:00 am",0.0
"Jan 23, 08:00 am",0.0484138
"Jan 23, 09:00 am",0.165964
"Jan 23, 10:00 am",0.324023
"Jan 23, 11:00 am",0.400273
"Jan 23, 12:00 pm",0.470662
"Jan 23, 01:00 pm",0.452509
"Jan 23, 02:00 pm",0.368788
"Jan 23, 03:00 pm",0.270166
"Jan 23, 04:00 pm",0.115312
"Jan 23, 05:00 pm",0.00122821
"Jan 23, 06:00 pm",0.0
"Jan 23, 07:00 pm",0.0
"Jan 23, 08:00 pm",0.0
"Jan 23, 09:00 pm",0.0
"Jan 23, 10:00 pm",0.0
"Jan 23, 11:00 pm",0.0
"Jan 24, 12:00 am",0.0
"Jan 24, 01:00 am",0.0
"Jan 24, 02:00 am",0.0
"Jan 24, 03:00 am",0.0
"Jan 24, 04:00 am",0.0
"Jan 24, 05:00 am",0.0
"Jan 24, 06:00 am",0.0
"Jan 24, 07:00 am",0.0
"Jan 24, 08:00 am",0.0204039
"Jan 24, 09:00 am",0.101011
"Jan 24, 10:00 am",0.192289
"Jan 24, 11:00 am",0.187814
"Jan 24, 12:00 pm",0.125256
"Jan 24, 01:00 pm",0.0986245
"Jan 24, 02:00 pm",0.0501217
"Jan 24, 03:00 pm",0.0618716
"Jan 24, 04:00 pm",0.00725646
"Jan 24, 05:00 pm",-0.0
"Jan 24, 06:00 pm",0.0
"Jan 24, 07:00 pm",0.0
"Jan 24, 08:00 pm",0.0
"Jan 24, 09:00 pm",0.0
"Jan 24, 10:00 pm",0.0
"Jan 24, 11:00 pm",0.0
"Jan 25, 12:00 am",0.0
"Jan 25, 01:00 am",0.0
"Jan 25, 02:00 am",0.0
"Jan 25, 03:00 am",0.0
"Jan 25, 04:00 am",0.0
"Jan 25, 05:00 am",0.0
"Jan 25, 06:00 am",0.0
"Jan 25, 07:00 am",0.0
"Jan 25, 08:00 am",0.0437431
"Jan 25, 09:00 am",0.176765
"Jan 25, 10:00 am",0.209914
"Jan 25, 11:00 am",0.121388
"Jan 25, 12:00 pm",0.333186
"Jan 25, 01:00 pm",0.198467
"Jan 25, 02:00 pm",0.137583
"Jan 25, 03:00 pm",0.235421
"Jan 25, 04:00 pm",0.121929
"Jan 25, 05:00 pm",0.00383047
"Jan 25, 06:00 pm",0.0
"Jan 25, 07:00 pm",0.0
"Jan 25, 08:00 pm",0.0
"Jan 25, 09:00 pm",0.0
"Jan 25, 10:00 pm",0.0
"Jan 25, 11:00 pm",0.0
"Jan 26, 12:00 am",0.0
"Jan 26, 01:00 am",0.0
"Jan 26, 02:00 am",0.0
"Jan 26, 03:00 am",0.0
"Jan 26, 04:00 am",0.0
"Jan 26, 05:00 am",0.0
"Jan 26, 06:00 am",0.0
"Jan 26, 07:00 am",0.0
"Jan 26, 08:00 am",0.0591643
"Jan 26, 09:00 am",0.18831
"Jan 26, 10:00 am",0.327862
"Jan 26, 11:00 am",0.427663
"Jan 26, 12:00 pm",0.477668
"Jan 26, 01:00 pm",0.46409
"Jan 26, 02:00 pm",0.382445
"Jan 26, 03:00 pm",0.196358
"Jan 26, 04:00 pm",0.0561932
"Jan 26, 05:00 pm",0.00261556
"Jan 26, 06:00 pm",0.0
"Jan 26, 07:00 pm",0.0
"Jan 26, 08:00 pm",0.0
"Jan 26, 09:00 pm",0.0
"Jan 26, 10:00 pm",0.0
"Jan 26, 11:00 pm",0.0
"Jan 27, 12:00 am",0.0
"Jan 27, 01:00 am",0.0
"Jan 27, 02:00 am",0.0
"Jan 27, 03:00 am",0.0
"Jan 27, 04:00 am",0.0
"Jan 27, 05:00 am",0.0
"Jan 27, 06:00 am",0.0
"Jan 27, 07:00 am",0.0
"Jan 27, 08:00 am",0.0506355
"Jan 27, 09:00 am",0.177679
"Jan 27, 10:00 am",0.342981
"Jan 27, 11:00 am",0.435412
"Jan 27, 12:00 pm",0.460884
"Jan 27, 01:00 pm",0.403697
"Jan 27, 02:00 pm",0.379896
"Jan 27, 03:00 pm",0.281346
"Jan 27, 04:00 pm",0.121216
"Jan 27, 05:00 pm",0.0047726
"Jan 27, 06:00 pm",0.0
"Jan 27, 07:00 pm",0.0
"Jan 27, 08:00 pm",0.0
"Jan 27, 09:00 pm",0.0
"Jan 27, 10:00 pm",0.0
"Jan 27, 11:00 pm",0.0
"Jan 28, 12:00 am",0.0
"Jan 28, 01:00 am",0.0
"Jan 28, 02:00 am",0.0
"Jan 28, 03:00 am",0.0
"Jan 28, 04:00 am",0.0
"Jan 28, 05:00 am",0.0
"Jan 28, 06:00 am",0.0
"Jan 28, 07:00 am",0.0
"Jan 28, 08:00 am",0.0620462
"Jan 28, 09:00 am",0.213279
"Jan 28, 10:00 am",0.357937
"Jan 28, 11:00 am",0.446837
"Jan 28, 12:00 pm",0.487731
"Jan 28, 01:00 pm",0.476474
"Jan 28, 02:00 pm",0.41488
"Jan 28, 03:00 pm",0.288327
"Jan 28, 04:00 pm",0.124393
"Jan 28, 05:00 pm",0.006362
"Jan 28, 06:00 pm",0.0
"Jan 28, 07:00 pm",0.0
"Jan 28, 08:00 pm",0.0
"Jan 28, 09:00 pm",0.0
"Jan 28, 10:00 pm",0.0
"Jan 28, 11:00 pm",0.0
"Jan 29, 12:00 am",0.0
"Jan 29, 01:00 am",0.0
"Jan 29, 02:00 am",0.0
"Jan 29, 03:00 am",0.0
"Jan 29, 04:00 am",0.0
"Jan 29, 05:00 am",0.0
"Jan 29, 06:00 am",0.0
"Jan 29, 07:00 am",0.0
"Jan 29, 08:00 am",0.0106932
"Jan 29, 09:00 am",0.0447745
"Jan 29, 10:00 am",0.142698
"Jan 29, 11:00 am",0.206502
"Jan 29, 12:00 pm",0.234181
"Jan 29, 01:00 pm",0.18469
"Jan 29, 02:00 pm",0.26834
"Jan 29, 03:00 pm",0.154618
"Jan 29, 04:00 pm",0.0459528
"Jan 29, 05:00 pm",0.00503511
"Jan 29, 06:00 pm",0.0
"Jan 29, 07:00 pm",0.0
"Jan 29, 08:00 pm",0.0
"Jan 29, 09:00 pm",0.0
"Jan 29, 10:00 pm",0.0
"Jan 29, 11:00 pm",0.0
"Jan 30, 12:00 am",0.0
"Jan 30, 01:00 am",0.0
"Jan 30, 02:00 am",0.0
"Jan 30, 03:00 am",0.0
"Jan 30, 04:00 am",0.0
"Jan 30, 05:00 am",0.0
"Jan 30, 06:00 am",0.0
"Jan 30, 07:00 am",0.0
"Jan 30, 08:00 am",0.0555197
"Jan 30, 09:00 am",0.168041
"Jan 30, 10:00 am",0.296689
"Jan 30, 11:00 am",0.438405
"Jan 30, 12:00 pm",0.483542
"Jan 30, 01:00 pm",0.470159
"Jan 30, 02:00 pm",0.379748
"Jan 30, 03:00 pm",0.285603
"Jan 30, 04:00 pm",0.131172
"Jan 30, 05:00 pm",0.0104097
"Jan 30, 06:00 pm",0.0
"Jan 30, 07:00 pm",0.0
"Jan 30, 08:00 pm",0.0
"Jan 30, 09:00 pm",0.0
"Jan 30, 10:00 pm",0.0
"Jan 30, 11:00 pm",0.0
"Jan 31, 12:00 am",0.0
"Jan 31, 01:00 am",0.0
"Jan 31, 02:00 am",0.0
"Jan 31, 03:00 am",0.0
"Jan 31, 04:00 am",0.0
"Jan 31, 05:00 am",0.0
"Jan 31, 06:00 am",0.0
"Jan 31, 07:00 am",0.0
"Jan 31, 08:00 am",0.0667764
"Jan 31, 09:00 am",0.183293
"Jan 31, 10:00 am",0.315295
"Jan 31, 11:00 am",0.457841
"Jan 31, 12:00 pm",0.466847
